state,date,admissions
WV,11/22/2022,29
AS,11/20/2022,0
VI,11/20/2022,0
AS,11/19/2022,0
VI,11/19/2022,0
AS,11/17/2022,0
VI,11/17/2022,0
AS,11/16/2022,0
VI,11/16/2022,0
WI,11/16/2022,16
AS,11/14/2022,0
VI,11/14/2022,0
VI,11/13/2022,0
AS,11/11/2022,0
VI,11/11/2022,0
AS,11/10/2022,0
VI,11/10/2022,0
WI,11/10/2022,8
AS,11/8/2022,0
VI,11/8/2022,0
WY,11/8/2022,1
AS,11/5/2022,0
VI,11/5/2022,0
RI,11/4/2022,0
AS,11/2/2022,0
VI,11/2/2022,0
AS,10/31/2022,0
AS,10/29/2022,0
VI,10/29/2022,0
WY,10/29/2022,0
VI,10/27/2022,0
AS,10/26/2022,0
VI,10/26/2022,0
WY,10/26/2022,0
VT,10/25/2022,0
AS,10/24/2022,0
VI,10/24/2022,0
VI,10/23/2022,0
VI,10/22/2022,0
AS,10/21/2022,0
VI,10/21/2022,0
AK,10/20/2022,0
WY,10/19/2022,0
AS,10/18/2022,0
VI,10/18/2022,0
WV,10/18/2022,1
AS,10/15/2022,0
VI,10/15/2022,0
AS,10/14/2022,0
VI,10/13/2022,0
AS,10/12/2022,0
VI,10/12/2022,0
WV,10/12/2022,2
AS,10/10/2022,0
VI,10/10/2022,0
VI,10/9/2022,0
AK,10/8/2022,0
AK,10/7/2022,0
AS,10/7/2022,0
VI,10/7/2022,0
VI,10/6/2022,0
AL,10/5/2022,4
WY,10/5/2022,0
AS,10/4/2022,0
VI,10/4/2022,0
AK,10/1/2022,0
AS,10/1/2022,0
VI,10/1/2022,0
AS,9/30/2022,0
VI,9/29/2022,0
AS,9/28/2022,0
VI,9/28/2022,0
WY,9/28/2022,0
WY,9/27/2022,0
AS,9/26/2022,0
VI,9/26/2022,0
VI,9/25/2022,0
VT,9/24/2022,0
AS,9/23/2022,0
VI,9/23/2022,0
WY,9/23/2022,0
VI,9/21/2022,0
AS,9/20/2022,0
VI,9/20/2022,0
AK,9/19/2022,0
VI,9/18/2022,0
AS,9/17/2022,0
VI,9/17/2022,0
AK,9/16/2022,0
VI,9/16/2022,0
